"business_id","name","address","city","state","stars","review_count","is_open","attribute.RestaurantsAttire","attribute.RestaurantsTakeOut","attribute.BusinessAcceptsCreditCards","attribute.NoiseLevel","attribute.GoodForKids","attribute.RestaurantsReservations","attribute.RestaurantsGoodForGroups","attribute.BusinessParking","attribute.RestaurantsPriceRange2","attribute.HasTV","attribute.Alcohol","attribute.BikeParking","attribute.RestaurantsDelivery","attribute.OutdoorSeating","attribute.Caters","attribute.WiFi","attribute.Ambience","attribute.GoodForMeal","hours.categories","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday"
"G4JLnk8TkeAhZ71V4Pof8A","Panda Express","4155 William Penn Hwy","Monroeville","PA",3,35,1,"u'casual'","True","True","u'average'","True","False",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","u'none'",NA,"True",NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Fast Food, Restaurants, Chinese","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:30","10:30-22:30","11:0-21:0"
"AfoBKJuGBJvQhc3By4K9Dg","Kushi Bar Muramoto","106 King St","Madison","WI",4,29,0,"u'casual'","True","True",NA,"False","False","False","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","3",NA,"'full_bar'",NA,"False","True",NA,NA,NA,NA,"Asian Fusion, Japanese, Restaurants","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:30","17:0-2:30",NA
"ecXP80GWT6zZ2qqZHpUCtQ","Muramoto Downtown","108 King St","Madison","WI",4,43,1,"'casual'","True","True","u'average'","False","True","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","2","False","u'full_bar'","True","False","True","False","'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}","{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': None, 'brunch': None, 'breakfast': None}","Bars, Cocktail Bars, Restaurants, Asian Fusion, Sushi Bars, Nightlife","17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0",NA
"pW-fOxuaWBkIhum5NANx2w","China Sea Express","1507 Euclid Ave","Cleveland","OH",3,11,0,"u'casual'","True","True","u'quiet'","True",NA,"True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","1","False","u'none'",NA,"True","False","False","u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"Q3zZTpHQBSbiPq2lLaTtgw","Sichuan Palace","60 Federal Dr","Pittsburgh","PA",4,17,1,"'casual'","True","True","u'quiet'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2","True",NA,"False","False","False",NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Imported Food, Ethnic Food, Szechuan, Food, Specialty Food, Restaurants, Chinese","11:30-21:30","11:30-21:30","11:30-21:30","11:30-21:30","11:30-22:0","11:30-22:0","12:30-21:0"
"qhuuWs1eshxEHhTSfGV2rg","Sapporo Asian Cuisine & Sushi Bar","3747 William Penn Hwy","Monroeville","PA",4,5,0,"u'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2","True","u'none'",NA,"True","False","True","u'free'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Japanese, Chinese, Restaurants, Sushi Bars",NA,NA,NA,NA,NA,NA,NA
"ui33pIJmkW0s8HddH_ZZ9A","Wild Fusion","3815 Center Rd","Brunswick","OH",4,56,1,"u'casual'","True","True","u'quiet'","True","False","False","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'","False","False","False","False","u'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",NA,"Sushi Bars, Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"rf8x3ZTUwzmRUyJgoIZllQ","Spicy Tang","611 E Green St","Champaign","IL",3,12,0,"'casual'","True","True",NA,"False","False","False",NA,"1",NA,NA,NA,"False",NA,NA,NA,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"CZzRtq0HQKwbBaJJi-Xpnw","China Cafe","11520 Clifton Blvd","Cleveland","OH",3,22,0,"'casual'","True","True",NA,"True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True",NA,"True","True","False",NA,"'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Restaurants, Chinese","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","12:0-22:0"
"-R_dMb9Z1eBv_FlYZrrKbw","Oriental Wok","532 S Park St","Madison","WI",2.5,20,1,"'casual'","True","True",NA,"True",NA,"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1",NA,NA,NA,"True","False","False",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Restaurants, Chinese","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10"
