"review_id","user_id","business_id","stars","useful","funny","cool","text","date"
"igBz9B9MGSyWVFKxW3gsPg","NkCMrl5Z9bXrpfy_W5mMdQ","ui33pIJmkW0s8HddH_ZZ9A",4,1,0,0,"They have great food for the whole family. Every time my family gets food from there we are never dissatisfied and always receive generous portions of food when we order. A must try place! You will not be disapointed.","2014-06-28 01:09:28"
"x14l84MbKFNo23xT64wlCA","3oWgYBERtjxz2ZYeqNK6Mw","CZzRtq0HQKwbBaJJi-Xpnw",1,0,0,0,"Pass by the China Cafe when driving down Clifton Blvd. ordered a quart of General Tsao's Chicken, was bland, no taste, overwhelmed with peanuts, and the vegetables were cut for soup, not the oriental cut in traditional Asian Cooking, ordered spring rolls, not too good either, the sauces (hot mustard) were packets no kick to them, fortune cookies were stale too, the redeeming item in the order was the white steamed rice. 

If your on Clifton looking for some good Asian food, get on Madison in Lakewood, and head to the Thai Kitchen, a few bucks more, however, everything is cooked to perfection......","2016-10-13 23:42:49"
"yfVvzLBsDXHLZHIad5UPjw","ZYfVZ3_MmbcHgTnrt40n4g","ui33pIJmkW0s8HddH_ZZ9A",4,2,1,2,"We happened upon Wild Fusion because we were in the area for a soccer game and needed to work dinner into the evening. The positive Yelp reviews brought us here.

Let me start by saying that this place puts other Chinese takeout spots to shame on so many levels. I'll try to name them all:

1. It is nice, bright, and super clean.
2. It has a real wooden table with real wooden chairs AND a nice little sushi bar for those who choose to eat in. Those who have attempted to ""eat in"" at your typical Chinese carryout place will know why this is mentioned.
3. Staff is friendly.
4. Non-canned vegetables are used in their dishes.
5. The chicken was much more high-quality than the norm at such places.

We shared 2 sushi rolls, a dumpling appetizer and the garlic chicken. Food was well prepared and came out fairly quickly. Everything was very good, with the sushi being a pleasant surprise.

If we're in the area, we'd definitely eat here again.","2016-05-19 12:47:05"
"Iuu1cyOfOQ6am-KE0vpg8g","i0XeF3DJI64l3z3-KY1Ejw","ui33pIJmkW0s8HddH_ZZ9A",2,0,0,0,"While visiting family in Brunswick I had an opportunity to try the local Chinese restaurant everyone raves over.  Well, its not all that. I ordered the Hunan Chicken and Hot & Sour soup. The chicken dish was okay. Could have used a little more heat. Portion was a bit smaller than I was used to but still adequate for a single dinner. The soup however was not even close to being palatable. No heat, No sour, wrong mushrooms used, no tree ear fungus, and what's with the corn and broccoli in it ? No lily buds either. Just plain wrong all the way around. Even PF Chang can do an acceptable H&S soup. Another in our group had the salmon sushi rolls. 4 of the 5 got thrown out. Not up to the usual standards. Won't be back.","2015-10-23 20:35:42"
"Ze3ecdyopnuTkwfThFCung","_VTEyUzzH92X3w-IpGaXVA","qhuuWs1eshxEHhTSfGV2rg",4,1,0,0,"This is a fairly new place, and we have been meaning to check it out.  We will for sure be back!

There is an extensive menu.  Sushi, chinese, japanese, and curry options, so there is something for everyone.  

As strange as this may sound, the highlight of the meal for me was the free appetizers they gave at the beginning of the meal.  There was a ""hot cucumber"" item (for lack of a better term) that was simply amazing.  The cucumber bits were still nice and crisp, but had a hot tangy flavor to them.  I asked if I could get seconds and they were nice enough to oblige.

My fiance and I split a Rock N Roll and it was tasty.  Not that original, but we both enjoyed it.  It had a lot of flavor and each of the flavors did stand out.  

I ordered the chicken teriyaki dinner bento box and was quite pleased.  It came with my choice of soup (I had hot and sour), a sald, white rice, and then several choices for sides.  You were able to choose either tempura vegetables, chicken katsu or seaweed salad, shumai, Gyoza or a spring roll and a choice of one of three sushi rolls.  It was a bargain for the amount of food you got at $15.  

My fiance ordered one of the traditional chinese dishes and was quite pleased as well.   

Service was quick and attentive, even with my multople requests to refill my water glass.  We will be back!","2013-03-18 20:26:09"
"GOzNkz_F2cwqqEYD3ZaSHg","25QzG8_MT4zr4JiglZI8dQ","pW-fOxuaWBkIhum5NANx2w",2,1,2,1,"This place is like the McDonald's of Chinese food. When I worked downtown, we'd head here about once a week or so to get out of the office and I would almost always get the Peanut Chicken, which would put me in a sodium coma for the rest of the day. You know, sometimes you just need that. Life ain't all Skittles and beer.","2009-03-05 19:52:58"
"3pSiQvqHqDZVyftpqthj7Q","Pfkoyhdup4UeFOslJDLS1Q","CZzRtq0HQKwbBaJJi-Xpnw",5,1,1,0,"A few months ago I ordered delivery. The driver had gotten a flat and couldn't complete the delivery. The lady called me super apologetic and said if I could come in and pick it up she would not charge me. So I drove up and picked up my order. I tried to pay for the meal but she refused to let me pay. These people are so nice. Today I went to pick up lunch, I had paid with a credit card and added a $3.00 tip. I decided to grab a couple drinks from the cooler and pay cash. The lady at the counter insisted I not pay for the soda because I had left a tip. Then I get home and there were two free egg rolls in my bag. If you are on the West side, there is no reason to order from any other Chinese restaurant. The food is god, the people are the best and the place is super clean.","2015-10-24 19:58:49"
"MJdk9fmu643OZ4IXsgyIJw","MP5PG36M4h2T-rMfAKqM0w","Q3zZTpHQBSbiPq2lLaTtgw",4,0,0,1,"By far the best Chinese food I've had in years! I ordered takeout: the general tso chicken with fried rice and a spring roll..loved it! It wasn't your average kind of fried rice. Didn't take pictures though lol. First time visit and I'm probably going to become a regular. Won't give it 5 Stars because they only have individual servings for lunch and not evenings.","2014-10-28 01:55:11"
"8AIs-KQ8JmSv3QCNRCikTQ","ElAQK5tbY7GkmoJHMqhDtQ","AfoBKJuGBJvQhc3By4K9Dg",4,1,0,0,"Incredible asian fusion, and an impressive sake list, if you like that sort of thing. Mmmmm... coconut-crusted mahi mahi.... Just start ordering and keep going until you are full.  But save room for the dessert sampler plate.","2005-03-04 01:06:19"
"CZNYB5UDJduCeIqMhSbybA","AgV7jUfWVNuVkruEUXdFNw","ecXP80GWT6zZ2qqZHpUCtQ",1,0,0,0,"Sad to say but this place has really gone down hill. We came in for drinks and quick appetizers on a Wednesday night, wouldn't think it would be that slow from a service perspective. Everything was bad: the service was so slow (wasn't even that crowded) had to ask twice for our edamame, the drinks were horrible (way too much lime in the Lychee Martini) and had to wait for and hour to get them, and the sushi was meh. Will be a long time before I come back here again.","2018-09-14 12:28:07"
