"business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attribute.RestaurantsAttire","attribute.RestaurantsTakeOut","attribute.BusinessAcceptsCreditCards","attribute.NoiseLevel","attribute.GoodForKids","attribute.RestaurantsReservations","attribute.RestaurantsGoodForGroups","attribute.BusinessParking","attribute.RestaurantsPriceRange2","attribute.HasTV","attribute.Alcohol","attribute.BikeParking","attribute.RestaurantsDelivery","attribute.ByAppointmentOnly","attribute.OutdoorSeating","attribute.Caters","attribute.WheelchairAccessible","attribute.WiFi","attribute.Ambience","attribute.BYOB","attribute.GoodForMeal","attribute.Corkage","attribute.RestaurantsTableService","attribute.BusinessAcceptsBitcoin","attribute.HappyHour","attribute.DogsAllowed","attribute.CoatCheck","attribute.Music","attribute.BestNights","attribute.HairSpecializesIn","attribute.AcceptsInsurance","attribute.BYOBCorkage","attribute.DriveThru","attribute.GoodForDancing","attribute.Smoking","attribute.AgesAllowed","attribute.DietaryRestrictions","attribute.RestaurantsCounterService","attribute.Open24Hours","categories","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday"
"owV0aSgh4t_9aG56iPxGEw","Panda Express","6895 Ridge Rd","Parma","OH",44129,41.3780450831,-81.7341383189,2.5,57,1,"u'casual'","True","True","'average'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",1,"True","u'none'","True","False",NA,"True","False",NA,"'free'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"Chinese, Fast Food, Restaurants","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30"
"iDHWqYdaTd5cHjppBdg5Rw","Classic Chinese Cuisine","1025 Washington Pike, Ste 25","Bridgeville","PA",15017,40.36464,-80.111125,3.5,24,1,"u'casual'","True","True","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",1,"True",NA,NA,"False",NA,"False",NA,NA,NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","15:0-21:0"
"SWDEdiv_v1QppobT1YnEPA","Chin's Pagoda Chinese & American Restaurant","30708 Lake Shore Blvd","Willowick","OH",44095,41.6406608,-81.4719222,3,27,1,"u'casual'","True","True","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2,"True","u'full_bar'","False","False",NA,"False",NA,NA,"u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"G4JLnk8TkeAhZ71V4Pof8A","Panda Express","4155 William Penn Hwy","Monroeville","PA",15146,40.4392892,-79.7651236,3,35,1,"u'casual'","True","True","u'average'","True","False",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2,"True","u'none'",NA,"True",NA,NA,NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,"False",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fast Food, Restaurants, Chinese","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:30","10:30-22:30","11:0-21:0"
"HVpwpXneaCWMeEBF7H8jpQ","Taiwan Little Eats","320 State St","Madison","WI",53703,43.0749538,-89.3907598,4,81,1,"u'casual'","True","True","u'average'","True","False","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",2,"False","u'none'","True","True",NA,"False","True",NA,"'free'","{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}",NA,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,"False",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bubble Tea, Taiwanese, Asian Fusion, Restaurants, Food, Chinese","0:0-0:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-19:0"
"2cetuQgbP1Bnzm-uMRlocQ","Nam's Noodle","1336 Regent St","Madison","WI",53715,43.0679775,-89.4084538,3.5,113,1,"'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",2,"True","u'full_bar'","True","True",NA,"False","True",NA,"u'free'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",NA,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vietnamese, Chinese, Asian Fusion, Noodles, Restaurants, Nightlife, Karaoke, Bars","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","11:0-21:30"
"mqiHZYNXnMLaEK87JZOzmA","Tasty Chinese Restaurant","213 S Highland Ave","Pittsburgh","PA",15206,40.458491,-79.924781,3,31,0,"u'casual'","True","True","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",1,"False","u'none'","True","True",NA,"False","True",NA,"u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'casual': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese","17:0-21:30","17:0-21:30","11:30-21:30","11:30-21:30","11:30-21:30","11:30-22:0","11:30-21:30"
"OyBStpjF5e_iRCMXflFasQ","Evo Cafe","711 S 6th St","Champaign","IL",61820,40.1094391,-88.2306035,2.5,61,1,"u'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",2,"True","u'none'","True","True",NA,"False","False",NA,"u'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Food, Seafood, Szechuan, Chinese, Coffee & Tea","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30",NA,"11:0-21:30"
"y3vpN6sfipzEpn9Tt5wuog","China Dragon","87 Northfield Rd","Bedford","OH",44146,41.379594,-81.526479,3,26,1,"u'casual'","True","True","u'average'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",1,"True","u'none'","True","True",NA,"False","False",NA,"u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"jjBTBObnHrY87qQIMybjzQ","Blue Jade","7080 Engle Rd, Ste B","Cleveland","OH",44130,41.3746218,-81.8257664,3.5,28,1,"u'casual'","True","True","u'quiet'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",1,"True","u'none'","True","False",NA,"False","False",NA,"u'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30",NA
