"business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attribute.RestaurantsAttire","attribute.RestaurantsTakeOut","attribute.BusinessAcceptsCreditCards","attribute.NoiseLevel","attribute.GoodForKids","attribute.RestaurantsReservations","attribute.RestaurantsGoodForGroups","attribute.BusinessParking","attribute.RestaurantsPriceRange2","attribute.HasTV","attribute.Alcohol","attribute.BikeParking","attribute.RestaurantsDelivery","attribute.ByAppointmentOnly","attribute.OutdoorSeating","attribute.Caters","attribute.WheelchairAccessible","attribute.WiFi","attribute.Ambience","attribute.BYOB","attribute.GoodForMeal","attribute.Corkage","attribute.RestaurantsTableService","attribute.BusinessAcceptsBitcoin","attribute.HappyHour","attribute.DogsAllowed","attribute.CoatCheck","attribute.Music","attribute.BestNights","attribute.HairSpecializesIn","attribute.AcceptsInsurance","attribute.BYOBCorkage","attribute.DriveThru","attribute.GoodForDancing","attribute.Smoking","attribute.AgesAllowed","attribute.DietaryRestrictions","attribute.RestaurantsCounterService","attribute.Open24Hours","categories","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday"
"owV0aSgh4t_9aG56iPxGEw","Panda Express","6895 Ridge Rd","Parma","OH","44129",41.3780450831,-81.7341383189,2.5,57,1,"u'casual'","True","True","'average'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'","True","False",NA,"True","False",NA,"'free'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"Chinese, Fast Food, Restaurants","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30"
"vTqKk3FgwwLgfCcV7F1jmw","Ming's Garden","1209 Business 18 and 151 E","Mount Horeb","WI","53572",43.009679,-89.724915,3.5,3,0,"u'casual'","True","True","u'quiet'",NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","False","u'none'",NA,"False",NA,NA,NA,NA,"u'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"iDHWqYdaTd5cHjppBdg5Rw","Classic Chinese Cuisine","1025 Washington Pike, Ste 25","Bridgeville","PA","15017",40.36464,-80.111125,3.5,24,1,"u'casual'","True","True","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True",NA,NA,"False",NA,"False",NA,NA,NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","15:0-21:0"
"6OhgauonbNtqLRpXXn_nJA","Master Wok","230 W Huron Rd, Ste 7248","Cleveland","OH","44113",41.4971659,-81.6940644,3.5,6,0,"u'casual'","True","True","u'very_loud'","False","False","True",NA,"1","False","u'none'",NA,"False",NA,"False",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"9VU91bqavqmmi3gstjemzA","Great China Buffet & Grill","5055 William Flynn Hwy","Gibsonia","PA","15044",40.6079763,-79.9480111,4,4,0,"u'casual'",NA,NA,"u'average'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese, Food Delivery Services, Food, Buffets","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","11:0-22:0"
"xUsLyzWQId6nXwNDVq08qQ","Lotus Garden","3911 Saw Mill Run Blvd","Pittsburgh","PA","15227",40.368626,-79.983,4,6,0,"u'casual'","True","True",NA,"True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2",NA,"u'full_bar'",NA,"False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"d51qbs6CitHbFD--G-AEVw","Shanghai 1938","2504 Village Green Pl","Champaign","IL","61822",40.0822044585,-88.2959151641,3,22,0,"u'casual'","True","True","u'quiet'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2","False","u'beer_and_wine'","True","True",NA,"False","True",NA,"u'paid'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese, Restaurants","17:0-21:0","11:0-21:30","11:0-21:30","11:0-21:30","11:0-23:0","12:0-23:0","16:0-21:0"
"SWDEdiv_v1QppobT1YnEPA","Chin's Pagoda Chinese & American Restaurant","30708 Lake Shore Blvd","Willowick","OH","44095",41.6406608,-81.4719222,3,27,1,"u'casual'","True","True","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","u'full_bar'","False","False",NA,"False",NA,NA,"u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"_EGWxiD27k3ahcFpmbSjQg","Great Wall Chinese Food","243 Brownsville Rd","Pittsburgh","PA","15210",40.4147164,-79.9875146,3.5,4,0,"u'casual'",NA,"True","u'average'",NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1",NA,NA,"True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Chinese","11:0-22:30","11:0-22:30","11:0-22:30","11:0-22:30","11:0-23:0","11:0-23:0","12:0-22:0"
"P9ASoX1gV30Sw7_dWvrv5Q","Faith Sung Inc Dba Asian Kitchen","1301 E 9th St","Cleveland","OH","44114",41.5049336,-81.6895088,4,3,1,"u'casual'","True","True","u'loud'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'","True","False",NA,"True","False",NA,"u'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
