"user_id","business_id","text","date","compliment_count"
"rErZCGq4SS95wfutUDNUdg","BIqsItY0vyOshMpJ0I4cPg","Change of plans! Chinese it is! Best in Squirrel Hill! :)","2011-10-01 17:30:53",0
"IqjFodSORDikoNhuu73Bdg","JEqM8xXhKumU5AfhmsiD8w","Enjoyed our meal. Good service. Thumbs up","2015-06-21 00:31:24",0
"0qCclQ4dhbJ-7_1j1jpemg","MLwVTDhM2DOESvKGcfKCsg","Good! Quiet, cute, and a ton of food for a pretty good price!","2015-01-15 18:51:43",0
"GPMFCrA0DnKbcJIhK6n2RA","cGQKUOAZm_VHcQOJWbatog","Enjoying Brunch with my Homie after a wonderful Sunday Service!!!","2012-05-20 18:46:01",0
"eXC9pqaD21oSet31ZeRG_A","7aZf5c1UNotq4MabBXMZLA","I will not return.  Ordered shrimp lo mein for takeout and the brown bag was saturated with grease. When I scooped out some of the lo mein on a plate, the remainder of the food in the container was SWIMMING in grease. No thank you.","2014-09-11 01:39:32",0
"srFZ0_Q7ktL5USL63yzrHQ","VfWX3UCKvUnVktdOuR8TwA","The wonton soup is so comforting and smells aromatically amazing.","2018-01-23 15:42:33",0
"xj3KQfhoQTpGFBb_8nspuQ","dGJwiltTg81VuCdHl485MA","Fast, friendly down-to-business kind of Chinese takeout joint. Thumbs up!","2016-04-21 17:33:26",0
"Bcc-eobQQ_eM1guzYSU-Kw","jDehhKtVZa62k32WHbnc2A","Do not be fooled by the decor the food is amazing!","2014-06-09 22:56:01",0
"UsmTxWbobLsI6WR1Db0W7A","_AKdBFzkl7GY-daxUCCbVA","Larger and nicer than the Waterfront location.","2011-05-02 17:50:36",0
"xEQ20W2KZlAXod5qHhkG9g","mF2EW3twSrFPmT_RVV1-Qg","Great atmosphere & food.","2011-10-17 16:38:46",0
"G-MYsPWoHOZsy-kAYi4kCg","i_t8WTwztuHweRqQ89hmuQ","Yum yum","2012-03-25 16:42:19",0
"QSUb8bedwQNjFqx5izHLfg","BsLyCu_lkEdkG42qmvZlnQ","If you don't like peppers, don't come here. Almost all their dishes include some sort of peppers.","2014-06-11 23:42:54",0
"zSlmOifwSTyFzi7hN6Dozw","PgaHjsWV3whvHF1CHU1rZg","Open till 11 pm on Christmas eve and on Christmas day!!!","2011-12-25 03:32:47",0
"c2fNx7VmQDKk--Bu2RBGnA","AYr2URtjoQ8Toh8_Jr4G6A","Great portion of food. Awesome food, cheap price. You should give a try","2017-04-15 16:23:46",0
