"word","n"
"food",35974
"chinese",18384
"chicken",15865
"restaurant",13412
"time",12807
"dish",11685
"service",10234
"noodle",8994
"rice",8753
"soup",8508
"menu",8261
"sauce",8131
"roll",7607
"sushi",6425
"pork",5927
"price",5914
"spicy",5828
"lunch",5492
"beef",5357
"eat",4983
"egg",4941
"meal",4890
"person",4749
"dumpling",4734
"shrimp",4694
"flavor",4461
"taste",4439
"portion",4172
"table",4101
"lot",3739
"star",3682
"dinner",3616
"asian",3490
"staff",3464
"experience",3440
"quality",3402
"bit",3398
"minute",3316
"tea",3279
"meat",3217
"buffet",3209
"friend",3186
"delivery",3101
"review",3039
"tofu",2997
"vegetable",2993
"2",2881
"tasty",2843
"5",2746
"day",2700
"special",2695
"wait",2687
"thai",2652
"3",2571
"night",2525
"option",2515
"tasted",2438
"drink",2431
"item",2405
"wonton",2308
"server",2266
"crab",2261
"veggie",2249
"10",2162
"home",2158
"eating",2141
"customer",2132
"family",2104
"owner",2091
"fish",2088
"cooked",2079
"mein",2033
"plate",2019
"hour",1946
"entree",1931
"4",1929
"visit",1926
"pittsburgh",1882
"waitress",1877
"pepper",1871
"huge",1871
"lo",1852
"takeout",1845
"quick",1839
"sum",1821
"appetizer",1816
"broth",1806
"bar",1792
"told",1787
"found",1754
"broccoli",1753
"feel",1715
"1",1707
"location",1670
"style",1666
"crispy",1659
"atmosphere",1658
"bowl",1651
"piece",1635
"inside",1614
"water",1586
"served",1580
"sesame",1565
"house",1560
"madison",1549
"american",1532
"coming",1527
"spot",1523
"left",1509
"dining",1498
"selection",1497
"choice",1496
"green",1490
"rangoon",1479
"white",1478
"china",1475
"pad",1454
"raman",1448
"town",1428
"decided",1423
"bean",1403
"cleveland",1402
"bun",1398
"check",1364
"extra",1362
"half",1360
"husband",1358
"busy",1358
"amount",1357
"garlic",1340
"highly",1338
"called",1324
"spice",1323
"week",1322
"size",1320
"average",1309
"flavorful",1305
"looked",1282
"couple",1261
"steamed",1243
"ate",1234
"salad",1210
"orange",1198
"dry",1183
"serve",1179
"pick",1152
"real",1147
"expect",1145
"waiter",1138
"curry",1136
"15",1127
"offer",1123
"absolutely",1123
"business",1122
"salty",1122
"bubble",1119
"close",1107
"eaten",1104
"kitchen",1102
"pay",1085
"hand",1078
"duck",1076
"wife",1074
"extremely",1068
"cuisine",1065
"standard",1061
"pho",1059
"tso",1057
"vegetarian",1057
"money",1053
"spring",1052
"szechuan",1046
"quickly",1041
"20",1034
"street",1031
"decor",1027
"tip",1026
"bite",1020
"oil",1018
"30",1004
"fan",999
"ingredient",995
"cook",994
"phone",990
"typical",990
"return",987
"call",983
"finally",982
"bring",980
"reason",971
"craving",967
"regular",957
"6",953
"arrived",952
"mushroom",925
"chef",922
"onion",920
"seafood",918
"red",916
"brought",913
"hotpot",906
"sit",904
"sichuan",903
"soy",902
"ago",897
"chili",887
"yelp",883
"front",880
"waiting",880
"lady",876
"stop",872
"door",868
"started",868
"guy",867
"past",857
"manager",855
"traditional",855
"pot",854
"dessert",848
"add",847
"surprised",845
"seated",844
"wall",843
"americanized",835
"type",834
"deal",833
"parking",832
"main",830
"care",827
"prepared",823
"ton",820
"stir",819
"month",817
"stopped",815
"priced",814
"kid",812
"plenty",812
"stuff",811
"8",809
"taiwanese",805
"kung",802
"salt",792
"filling",791
"wok",780
"japanese",775
"drive",763
"brown",761
"deliver",759
"counter",756
"belly",755
"eggplant",751
"yummy",747
"run",743
"hibachi",743
"ginger",740
"live",739
"party",736
"waited",735
"serving",733
"rib",729
"hit",727
"guess",727
"leave",723
"start",721
"black",721
"walked",720
"ice",717
"hunan",717
"tuna",713
"cream",712
"line",708
"hope",707
"texture",707
"7",702
"pao",701
"chow",697
"sat",695
"based",691
"light",688
"late",684
"fry",683
"remember",676
"city",674
"sitting",674
"expected",673
"bill",666
"local",661
"mind",659
"delivered",657
"recently",655
"boyfriend",654
"walk",653
"cheese",652
"completely",642
"short",640
"choose",638
"low",635
"empty",635
"hungry",635
"literally",633
"seating",625
"rest",624
"stick",623
"heat",619
"lamb",614
"scallion",612
"understand",610
"honestly",609
"packed",607
"express",604
"added",604
"vietnamese",603
"peanut",599
"sunday",599
"combo",597
"online",594
"box",590
"dan",589
"mixed",589
"speak",588
"steak",588
"cut",587
"english",587
"dine",585
"bbq",584
"trip",582
"slightly",580
"drop",579
"leftover",578
"pancake",575
"cup",575
"card",571
"share",570
"life",566
"saturday",566
"hill",564
"chewy",564
"simple",564
"filled",561
"including",561
"tonight",560
"level",559
"mall",558
